ID_Pelanggan,Nama_Pelanggan,Alamat,Kota,Provinsi,Daya_Listrik,Meter_Awal,Meter_Akhir,Pemakaian_kWh,Tarif_per_kWh,Total_Tagihan,Bulan,Tahun,Status_Pembayaran,Tanggal_Tagihan,Tanggal_Pembayaran,Tanggal_Jatuh_Tempo,Denda,Total_Bayar,Metode_Pembayaran,Tarif_Key
PLN104359,Agus Pratama,Jl. Raya Pekanbaru No.296,Pekanbaru,Riau,900 VA (subsidi),467677,467832,155,605.0,93775,June,2025,Lunas,2025-06-28,2025-07-14 00:00:00,2025-07-18,0,93775,Transfer Bank,900_subsidi
PLN104360,Sari Ramadhan,Jl. Raya Yogyakarta No.714,Yogyakarta,Yogyakarta,2200 VA,102140,102542,402,1444.7,580769,July,2024,Lunas,2024-07-27,2024-10-25 00:00:00,2024-08-16,23230,603999,Alfamart,2200
PLN104361,Budi Lestari,Jl. Raya Lombok Timur No.619,Lombok Timur,NTB,900 VA (subsidi),117962,118100,138,605.0,83490,July,2023,Lunas,2023-07-09,2023-07-17 00:00:00,2023-07-29,0,83490,Indomaret,900_subsidi
PLN104362,Wahyu Wahyuni,Jl. Raya Jakarta Barat No.795,Jakarta Barat,DKI Jakarta,1300 VA,306118,306294,176,1444.7,254267,October,2025,Lunas,2025-10-18,2025-10-20 00:00:00,2025-11-07,0,254267,Indomaret,1300
PLN104363,Andi Ramadhan,Jl. Raya Pekanbaru No.825,Pekanbaru,Riau,1300 VA,166538,166879,341,1444.7,492643,August,2024,Lunas,2024-08-24,2024-09-02 00:00:00,2024-09-13,0,492643,Mobile Banking,1300
PLN104364,Andi Kurniawan,Jl. Raya Lombok Timur No.167,Lombok Timur,NTB,2200 VA,296421,296900,479,1444.7,692011,May,2025,Lunas,2025-05-27,2025-05-27 00:00:00,2025-06-16,0,692011,E-Wallet,2200
PLN104365,Ayu Pratama,Jl. Raya Yogyakarta No.430,Yogyakarta,Yogyakarta,450 VA,444450,444492,42,415.0,17430,September,2024,Lunas,2024-09-23,2024-10-10 00:00:00,2024-10-13,0,17430,E-Wallet,450_subsidi
PLN104366,Rina Gunawan,Jl. Raya Badung No.551,Badung,Bali,2200 VA,300921,301535,614,1444.7,887046,May,2025,Lunas,2025-05-14,2025-05-17 00:00:00,2025-06-03,0,887046,Kartu Kredit,2200
PLN104367,Rudi Setiawan,Jl. Raya Makassar No.36,Makassar,Sulawesi Selatan,1300 VA,455242,455463,221,1444.7,319279,April,2024,Lunas,2024-04-15,2024-08-02 00:00:00,2024-05-05,12771,332050,Kartu Kredit,1300
PLN104368,Fitri Hidayat,Jl. Raya Lombok Timur No.112,Lombok Timur,NTB,900 VA (subsidi),390723,390844,121,605.0,73205,April,2024,Belum Bayar,2024-04-25,BELUM BAYAR,2024-05-15,7320,80525,BELUM BAYAR,900_subsidi
PLN104369,Ika Ramadhan,Jl. Raya Jakarta Timur No.831,Jakarta Timur,DKI Jakarta,900 VA (non-subsidi),393688,393767,79,1352.0,106808,October,2025,Lunas,2025-10-02,2025-10-17 00:00:00,2025-10-22,0,106808,Transfer Bank,900_nonsubsidi
PLN104370,Sari Kurniawan,Jl. Raya Medan No.831,Medan,Sumatera Utara,1300 VA,109541,109874,333,1444.7,481085,June,2024,Lunas,2024-06-25,2024-08-21 00:00:00,2024-07-15,9621,490706,Alfamart,1300
PLN104371,Dewi Saputra,Jl. Raya Bandar Lampung No.138,Bandar Lampung,Lampung,1300 VA,108709,108759,50,1444.7,72235,April,2023,Lunas,2023-04-05,2023-04-06 00:00:00,2023-04-25,0,72235,Mobile Banking,1300
PLN104372,Rizky Ramadhan,Jl. Raya Tasikmalaya No.3,Tasikmalaya,Jawa Barat,2200 VA,122634,122852,218,1444.7,314945,August,2025,Belum Bayar,2025-08-13,BELUM BAYAR,2025-09-02,25195,340140,BELUM BAYAR,2200
PLN104373,Agus Pratama,Jl. Raya Tegal No.3,Tegal,Jawa Tengah,900 VA (subsidi),129731,129785,54,605.0,32670,January,2025,Lunas,2025-01-07,2025-01-09 00:00:00,2025-01-27,0,32670,Kartu Kredit,900_subsidi
PLN104374,Hendra Kusuma,Jl. Raya Jakarta Pusat No.39,Jakarta Pusat,DKI Jakarta,2200 VA,50297,50617,320,1444.7,462304,October,2024,Lunas,2024-10-05,2024-11-06 00:00:00,2024-10-25,9246,471550,ATM Transfer,2200
PLN104375,Fitri Hidayat,Jl. Raya Bandar Lampung No.487,Bandar Lampung,Lampung,900 VA (subsidi),200746,200925,179,605.0,108295,January,2024,Belum Bayar,2024-01-22,BELUM BAYAR,2024-02-11,12995,121290,BELUM BAYAR,900_subsidi
PLN104376,Siti Putri,Jl. Raya Serang No.549,Serang,Banten,900 VA (non-subsidi),332978,333136,158,1352.0,213616,January,2025,Belum Bayar,2025-01-02,BELUM BAYAR,2025-01-22,8544,222160,BELUM BAYAR,900_nonsubsidi
PLN104377,Fitri Hidayat,Jl. Raya Badung No.158,Badung,Bali,3500 VA,468345,468445,100,1699.53,169953,May,2024,Lunas,2024-05-02,2024-07-08 00:00:00,2024-05-22,5000,174953,E-Wallet,3500_5500
PLN104378,Fitri Santoso,Jl. Raya Tangerang No.985,Tangerang,Banten,900 VA (subsidi),9673,9915,242,605.0,146410,March,2024,Lunas,2024-03-20,2024-04-05 00:00:00,2024-04-09,0,146410,Alfamart,900_subsidi
PLN104379,Dewi Agustina,Jl. Raya Sibolga No.170,Sibolga,Sumatera Utara,900 VA (subsidi),258715,258852,137,605.0,82885,April,2023,Lunas,2023-04-17,2023-05-04 00:00:00,2023-05-07,0,82885,E-Wallet,900_subsidi
PLN104380,Fitri Pratama,Jl. Raya Badung No.412,Badung,Bali,900 VA (subsidi),291809,291882,73,605.0,44165,December,2024,Lunas,2024-12-19,2025-03-21 00:00:00,2025-01-08,5000,49165,ATM Transfer,900_subsidi
PLN104381,Agus Wahyuni,Jl. Raya Parepare No.305,Parepare,Sulawesi Selatan,1300 VA,294564,294887,323,1444.7,466638,January,2025,Lunas,2025-01-19,2025-03-27 00:00:00,2025-02-08,9332,475970,Indomaret,1300
PLN104382,Agus Lestari,Jl. Raya Pekanbaru No.930,Pekanbaru,Riau,1300 VA,385704,386030,326,1444.7,470972,June,2025,Belum Bayar,2025-06-20,BELUM BAYAR,2025-07-10,56516,527488,BELUM BAYAR,1300
PLN104383,Hendra Santoso,Jl. Raya Lombok Timur No.11,Lombok Timur,NTB,900 VA (non-subsidi),14671,14750,79,1352.0,106808,June,2025,Lunas,2025-06-12,2025-07-04 00:00:00,2025-07-02,5000,111808,ATM Transfer,900_nonsubsidi
PLN104384,Dian Kusuma,Jl. Raya Bandar Lampung No.801,Bandar Lampung,Lampung,900 VA (non-subsidi),209391,209522,131,1352.0,177112,March,2023,Lunas,2023-03-21,2023-06-25 00:00:00,2023-04-10,7084,184196,Indomaret,900_nonsubsidi
PLN104385,Dewi Wijaya,Jl. Raya Jakarta Barat No.187,Jakarta Barat,DKI Jakarta,450 VA,33076,33117,41,415.0,17015,April,2024,Lunas,2024-04-01,2024-04-19 00:00:00,2024-04-21,0,17015,Transfer Bank,450_subsidi
PLN104386,Siti Lestari,Jl. Raya Samarinda No.859,Samarinda,Kalimantan Timur,2200 VA,398590,398829,239,1444.7,345283,April,2024,Lunas,2024-04-13,2024-04-15 00:00:00,2024-05-03,0,345283,E-Wallet,2200
PLN104387,Rina Ramadhan,Jl. Raya Jakarta Selatan No.857,Jakarta Selatan,DKI Jakarta,900 VA (subsidi),70954,71032,78,605.0,47190,February,2025,Belum Bayar,2025-02-04,BELUM BAYAR,2025-02-24,2831,50021,BELUM BAYAR,900_subsidi
PLN104388,Rudi Saputra,Jl. Raya Medan No.277,Medan,Sumatera Utara,450 VA,151749,151766,17,415.0,7055,September,2023,Belum Bayar,2023-09-21,BELUM BAYAR,2023-10-11,705,7760,BELUM BAYAR,450_subsidi
PLN104389,Dewi Wijaya,Jl. Raya Solo No.175,Solo,Jawa Tengah,900 VA (subsidi),122213,122341,128,605.0,77440,February,2023,Lunas,2023-02-05,2023-03-05 00:00:00,2023-02-25,5000,82440,Transfer Bank,900_subsidi
PLN104390,Budi Aminah,Jl. Raya Jakarta Pusat No.540,Jakarta Pusat,DKI Jakarta,6600 VA+,344808,346659,1851,1699.53,3145830,November,2023,Lunas,2023-11-18,2023-11-25 00:00:00,2023-12-08,0,3145830,ATM Transfer,6600_plus
PLN104391,Siti Kusuma,Jl. Raya Lombok Timur No.581,Lombok Timur,NTB,900 VA (subsidi),121569,121719,150,605.0,90750,March,2024,Lunas,2024-03-11,2024-03-23 00:00:00,2024-03-31,0,90750,Transfer Bank,900_subsidi
PLN104392,Rina Setiawan,Jl. Raya Jakarta Barat No.916,Jakarta Barat,DKI Jakarta,2200 VA,214434,214856,422,1444.7,609663,October,2025,Lunas,2025-10-09,2025-12-05 00:00:00,2025-10-29,12193,621856,Transfer Bank,2200
PLN104393,Fajar Kurniawan,Jl. Raya Banda Aceh No.470,Banda Aceh,Aceh,1300 VA,197765,198113,348,1444.7,502756,December,2024,Lunas,2024-12-07,2024-12-24 00:00:00,2024-12-27,0,502756,Mobile Banking,1300
PLN104394,Budi Kusuma,Jl. Raya Balikpapan No.402,Balikpapan,Kalimantan Timur,900 VA (subsidi),29616,29704,88,605.0,53240,April,2024,Lunas,2024-04-13,2024-05-19 00:00:00,2024-05-03,5000,58240,Kartu Kredit,900_subsidi
PLN104395,Ayu Setiawan,Jl. Raya Balikpapan No.432,Balikpapan,Kalimantan Timur,900 VA (subsidi),98881,99051,170,605.0,102850,January,2024,Lunas,2024-01-14,2024-01-31 00:00:00,2024-02-03,0,102850,Alfamart,900_subsidi
PLN104396,Rina Ramadhan,Jl. Raya Samarinda No.201,Samarinda,Kalimantan Timur,1300 VA,158570,158666,96,1444.7,138691,December,2023,Lunas,2023-12-23,2023-12-25 00:00:00,2024-01-12,0,138691,ATM Transfer,1300
PLN104397,Dian Wijaya,Jl. Raya Mataram No.191,Mataram,NTB,6600 VA+,117003,117962,959,1699.53,1629849,October,2025,Lunas,2025-10-28,2025-11-28 00:00:00,2025-11-17,32596,1662445,Mobile Banking,6600_plus
PLN104398,Rizky Gunawan,Jl. Raya Gianyar No.168,Gianyar,Bali,900 VA (subsidi),76722,76784,62,605.0,37510,February,2023,Lunas,2023-02-13,2023-03-03 00:00:00,2023-03-05,0,37510,E-Wallet,900_subsidi
PLN104399,Rina Gunawan,Jl. Raya Banda Aceh No.899,Banda Aceh,Aceh,2200 VA,157454,157916,462,1444.7,667451,July,2023,Lunas,2023-07-09,2023-07-14 00:00:00,2023-07-29,0,667451,Mobile Banking,2200
PLN104400,Ika Wijaya,Jl. Raya Magelang No.398,Magelang,Jawa Tengah,900 VA (non-subsidi),349654,349830,176,1352.0,237952,February,2023,Belum Bayar,2023-02-17,BELUM BAYAR,2023-03-09,42831,280783,BELUM BAYAR,900_nonsubsidi
PLN104401,Fitri Wahyuni,Jl. Raya Yogyakarta No.36,Yogyakarta,Yogyakarta,900 VA (subsidi),322558,322707,149,605.0,90145,November,2023,Lunas,2023-11-23,2023-12-07 00:00:00,2023-12-13,0,90145,ATM Transfer,900_subsidi
PLN104402,Sari Hidayat,Jl. Raya Pekanbaru No.567,Pekanbaru,Riau,2200 VA,375762,376222,460,1444.7,664562,March,2024,Lunas,2024-03-07,2024-03-25 00:00:00,2024-03-27,0,664562,ATM Transfer,2200
PLN104403,Yuli Aminah,Jl. Raya Tangerang No.349,Tangerang,Banten,900 VA (subsidi),335957,336024,67,605.0,40535,March,2023,Lunas,2023-03-19,2023-04-03 00:00:00,2023-04-08,0,40535,ATM Transfer,900_subsidi
PLN104404,Ika Hidayat,Jl. Raya Sidoarjo No.354,Sidoarjo,Jawa Timur,2200 VA,118610,118962,352,1444.7,508534,July,2025,Lunas,2025-07-05,2025-07-11 00:00:00,2025-07-25,0,508534,Transfer Bank,2200
PLN104405,Budi Agustina,Jl. Raya Kediri No.895,Kediri,Jawa Timur,3500 VA,316485,317147,662,1699.53,1125089,December,2025,Belum Bayar,2025-12-14,BELUM BAYAR,2026-01-03,180014,1305103,BELUM BAYAR,3500_5500
PLN104406,Rina Setiawan,Jl. Raya Yogyakarta No.478,Yogyakarta,Yogyakarta,2200 VA,390200,390627,427,1444.7,616887,November,2024,Lunas,2024-11-06,2024-11-13 00:00:00,2024-11-26,0,616887,Kartu Kredit,2200
PLN104407,Eka Kusuma,Jl. Raya Binjai No.43,Binjai,Sumatera Utara,1300 VA,72219,72501,282,1444.7,407405,January,2025,Lunas,2025-01-19,2025-01-19 00:00:00,2025-02-08,0,407405,Kartu Kredit,1300
PLN104408,Rudi Hidayat,Jl. Raya Bandar Lampung No.823,Bandar Lampung,Lampung,2200 VA,54918,55160,242,1444.7,349617,May,2024,Lunas,2024-05-21,2024-06-18 00:00:00,2024-06-10,6992,356609,E-Wallet,2200
PLN104409,Eka Hidayat,Jl. Raya Tangerang No.670,Tangerang,Banten,900 VA (non-subsidi),222527,222679,152,1352.0,205504,May,2023,Lunas,2023-05-05,2023-05-21 00:00:00,2023-05-25,0,205504,Transfer Bank,900_nonsubsidi
PLN104410,Ika Lestari,Jl. Raya Semarang No.757,Semarang,Jawa Tengah,900 VA (non-subsidi),254516,254688,172,1352.0,232544,February,2025,Lunas,2025-02-10,2025-02-18 00:00:00,2025-03-02,0,232544,Mobile Banking,900_nonsubsidi
PLN104411,Rina Lestari,Jl. Raya Tangerang No.733,Tangerang,Banten,900 VA (subsidi),142821,142900,79,605.0,47795,April,2025,Belum Bayar,2025-04-11,BELUM BAYAR,2025-05-01,2867,50662,BELUM BAYAR,900_subsidi
PLN104412,Dewi Setiawan,Jl. Raya Lombok Timur No.226,Lombok Timur,NTB,900 VA (subsidi),349929,350045,116,605.0,70180,April,2023,Belum Bayar,2023-04-23,BELUM BAYAR,2023-05-13,4210,74390,BELUM BAYAR,900_subsidi
PLN104413,Rina Aminah,Jl. Raya Gianyar No.273,Gianyar,Bali,900 VA (subsidi),320076,320132,56,605.0,33880,August,2023,Lunas,2023-08-02,2023-08-15 00:00:00,2023-08-22,0,33880,Alfamart,900_subsidi
PLN104414,Fitri Kusuma,Jl. Raya Pekanbaru No.247,Pekanbaru,Riau,2200 VA,98643,98693,50,1444.7,72235,May,2023,Lunas,2023-05-24,2023-06-05 00:00:00,2023-06-13,0,72235,ATM Transfer,2200
PLN104415,Ika Agustina,Jl. Raya Tegal No.64,Tegal,Jawa Tengah,900 VA (non-subsidi),148617,148749,132,1352.0,178464,January,2025,Lunas,2025-01-10,2025-01-17 00:00:00,2025-01-30,0,178464,Transfer Bank,900_nonsubsidi
PLN104416,Tono Kusuma,Jl. Raya Serang No.537,Serang,Banten,900 VA (subsidi),37117,37273,156,605.0,94380,March,2023,Lunas,2023-03-24,2023-04-02 00:00:00,2023-04-13,0,94380,E-Wallet,900_subsidi
PLN104417,Rina Saputra,Jl. Raya Serang No.402,Serang,Banten,1300 VA,55598,55937,339,1444.7,489753,August,2024,Lunas,2024-08-05,2024-08-14 00:00:00,2024-08-25,0,489753,Kartu Kredit,1300
PLN104418,Ika Kusuma,Jl. Raya Malang No.263,Malang,Jawa Timur,1300 VA,409513,409563,50,1444.7,72235,April,2023,Lunas,2023-04-22,2023-04-28 00:00:00,2023-05-12,0,72235,Kartu Kredit,1300
PLN104419,Andi Ramadhan,Jl. Raya Bandar Lampung No.940,Bandar Lampung,Lampung,1300 VA,298779,299026,247,1444.7,356841,February,2023,Lunas,2023-02-10,2023-02-23 00:00:00,2023-03-02,0,356841,ATM Transfer,1300
PLN104420,Siti Gunawan,Jl. Raya Solo No.76,Solo,Jawa Tengah,900 VA (subsidi),445276,445286,10,605.0,6050,March,2023,Lunas,2023-03-22,2023-04-21 00:00:00,2023-04-11,5000,11050,Transfer Bank,900_subsidi
PLN104421,Eka Hidayat,Jl. Raya Bandar Lampung No.91,Bandar Lampung,Lampung,900 VA (non-subsidi),239720,239922,202,1352.0,273104,October,2025,Lunas,2025-10-17,2025-10-30 00:00:00,2025-11-06,0,273104,Transfer Bank,900_nonsubsidi
PLN104422,Dian Agustina,Jl. Raya Banda Aceh No.664,Banda Aceh,Aceh,900 VA (subsidi),274826,274880,54,605.0,32670,August,2023,Lunas,2023-08-09,2023-10-11 00:00:00,2023-08-29,5000,37670,Indomaret,900_subsidi
PLN104423,Budi Wahyuni,Jl. Raya Badung No.737,Badung,Bali,900 VA (subsidi),27937,28132,195,605.0,117975,June,2025,Lunas,2025-06-16,2025-06-23 00:00:00,2025-07-06,0,117975,Alfamart,900_subsidi
PLN104424,Hendra Aminah,Jl. Raya Bogor No.126,Bogor,Jawa Barat,900 VA (subsidi),454343,454519,176,605.0,106480,April,2025,Lunas,2025-04-06,2025-05-29 00:00:00,2025-04-26,5000,111480,Mobile Banking,900_subsidi
PLN104425,Eka Wahyuni,Jl. Raya Jakarta Selatan No.37,Jakarta Selatan,DKI Jakarta,900 VA (non-subsidi),6396,6461,65,1352.0,87880,March,2025,Lunas,2025-03-11,2025-06-03 00:00:00,2025-03-31,5000,92880,Mobile Banking,900_nonsubsidi
PLN104426,Ayu Hidayat,Jl. Raya Semarang No.509,Semarang,Jawa Tengah,900 VA (subsidi),77297,77349,52,605.0,31460,May,2023,Lunas,2023-05-06,2023-05-07 00:00:00,2023-05-26,0,31460,Alfamart,900_subsidi
PLN104427,Rina Hidayat,Jl. Raya Bandar Lampung No.308,Bandar Lampung,Lampung,3500 VA,229285,230090,805,1699.53,1368122,December,2025,Lunas,2025-12-17,2025-12-30 00:00:00,2026-01-06,0,1368122,Kartu Kredit,3500_5500
PLN104428,Ika Wijaya,Jl. Raya Denpasar No.833,Denpasar,Bali,900 VA (subsidi),353332,353401,69,605.0,41745,March,2023,Lunas,2023-03-04,2023-06-16 00:00:00,2023-03-24,5000,46745,Alfamart,900_subsidi
PLN104429,Ika Pratama,Jl. Raya Tangerang No.967,Tangerang,Banten,2200 VA,31576,31891,315,1444.7,455080,June,2024,Lunas,2024-06-25,2024-07-11 00:00:00,2024-07-15,0,455080,Transfer Bank,2200
PLN104430,Rudi Lestari,Jl. Raya Serang No.965,Serang,Banten,2200 VA,368196,368423,227,1444.7,327947,September,2023,Belum Bayar,2023-09-22,BELUM BAYAR,2023-10-12,72148,400095,BELUM BAYAR,2200
PLN104431,Rudi Saputra,Jl. Raya Parepare No.751,Parepare,Sulawesi Selatan,900 VA (subsidi),79642,79655,13,605.0,7865,May,2024,Belum Bayar,2024-05-20,BELUM BAYAR,2024-06-09,629,8494,BELUM BAYAR,900_subsidi
PLN104432,Agus Putri,Jl. Raya Yogyakarta No.153,Yogyakarta,Yogyakarta,900 VA (non-subsidi),92064,92074,10,1352.0,13520,May,2024,Lunas,2024-05-21,2024-06-03 00:00:00,2024-06-10,0,13520,Kartu Kredit,900_nonsubsidi
PLN104433,Yuli Lestari,Jl. Raya Binjai No.916,Binjai,Sumatera Utara,900 VA (subsidi),20541,20674,133,605.0,80465,May,2023,Lunas,2023-05-03,2023-06-14 00:00:00,2023-05-23,5000,85465,Alfamart,900_subsidi
PLN104434,Dewi Ramadhan,Jl. Raya Pekanbaru No.839,Pekanbaru,Riau,900 VA (subsidi),224295,224381,86,605.0,52030,February,2023,Lunas,2023-02-24,2023-03-12 00:00:00,2023-03-16,0,52030,Mobile Banking,900_subsidi
PLN104435,Hendra Agustina,Jl. Raya Balikpapan No.12,Balikpapan,Kalimantan Timur,1300 VA,467801,468018,217,1444.7,313500,September,2025,Lunas,2025-09-23,2025-12-17 00:00:00,2025-10-13,12540,326040,Alfamart,1300
PLN104436,Fitri Kusuma,Jl. Raya Sibolga No.712,Sibolga,Sumatera Utara,3500 VA,389322,390230,908,1699.53,1543173,March,2024,Lunas,2024-03-07,2024-05-25 00:00:00,2024-03-27,30863,1574036,Alfamart,3500_5500
PLN104437,Rudi Santoso,Jl. Raya Makassar No.811,Makassar,Sulawesi Selatan,900 VA (non-subsidi),373304,373494,190,1352.0,256880,June,2023,Lunas,2023-06-27,2023-06-29 00:00:00,2023-07-17,0,256880,Indomaret,900_nonsubsidi
PLN104438,Dewi Wahyuni,Jl. Raya Bandar Lampung No.752,Bandar Lampung,Lampung,900 VA (subsidi),338754,338857,103,605.0,62315,September,2023,Belum Bayar,2023-09-13,BELUM BAYAR,2023-10-03,7477,69792,BELUM BAYAR,900_subsidi
PLN104439,Siti Gunawan,Jl. Raya Yogyakarta No.974,Yogyakarta,Yogyakarta,1300 VA,446845,447093,248,1444.7,358286,August,2023,Belum Bayar,2023-08-03,BELUM BAYAR,2023-08-23,64491,422777,BELUM BAYAR,1300
PLN104440,Wahyu Santoso,Jl. Raya Yogyakarta No.761,Yogyakarta,Yogyakarta,1300 VA,471532,471907,375,1444.7,541762,July,2025,Lunas,2025-07-13,2025-08-05 00:00:00,2025-08-02,10835,552597,E-Wallet,1300
PLN104441,Rizky Setiawan,Jl. Raya Solo No.224,Solo,Jawa Tengah,2200 VA,205967,206063,96,1444.7,138691,November,2024,Lunas,2024-11-02,2024-11-17 00:00:00,2024-11-22,0,138691,Indomaret,2200
PLN104442,Budi Kurniawan,Jl. Raya Serang No.21,Serang,Banten,1300 VA,20022,20355,333,1444.7,481085,February,2023,Lunas,2023-02-21,2023-06-08 00:00:00,2023-03-13,19243,500328,Alfamart,1300
PLN104443,Siti Saputra,Jl. Raya Tegal No.641,Tegal,Jawa Tengah,1300 VA,363342,363724,382,1444.7,551875,December,2024,Lunas,2024-12-02,2024-12-27 00:00:00,2024-12-22,11037,562912,ATM Transfer,1300
PLN104444,Eka Gunawan,Jl. Raya Samarinda No.320,Samarinda,Kalimantan Timur,2200 VA,36002,36404,402,1444.7,580769,July,2024,Belum Bayar,2024-07-25,BELUM BAYAR,2024-08-14,46461,627230,BELUM BAYAR,2200
PLN104445,Agus Setiawan,Jl. Raya Surabaya No.381,Surabaya,Jawa Timur,450 VA,334281,334286,5,415.0,2075,December,2023,Lunas,2023-12-20,2023-12-21 00:00:00,2024-01-09,0,2075,Indomaret,450_subsidi
PLN104446,Hendra Aminah,Jl. Raya Mataram No.760,Mataram,NTB,3500 VA,460521,460992,471,1699.53,800479,August,2024,Lunas,2024-08-20,2024-09-05 00:00:00,2024-09-09,0,800479,ATM Transfer,3500_5500
PLN104447,Yuli Santoso,Jl. Raya Semarang No.461,Semarang,Jawa Tengah,900 VA (non-subsidi),402969,403036,67,1352.0,90584,June,2023,Lunas,2023-06-04,2023-06-15 00:00:00,2023-06-24,0,90584,Transfer Bank,900_nonsubsidi
PLN104448,Siti Putri,Jl. Raya Jakarta Pusat No.348,Jakarta Pusat,DKI Jakarta,1300 VA,459171,459485,314,1444.7,453636,January,2024,Lunas,2024-01-24,2024-03-30 00:00:00,2024-02-13,9072,462708,Kartu Kredit,1300
PLN104449,Dewi Gunawan,Jl. Raya Jakarta Barat No.54,Jakarta Barat,DKI Jakarta,2200 VA,293677,294049,372,1444.7,537428,April,2024,Lunas,2024-04-27,2024-07-31 00:00:00,2024-05-17,21497,558925,Transfer Bank,2200
PLN104450,Agus Setiawan,Jl. Raya Samarinda No.453,Samarinda,Kalimantan Timur,3500 VA,498719,499868,1149,1699.53,1952760,February,2025,Lunas,2025-02-16,2025-02-26 00:00:00,2025-03-08,0,1952760,Transfer Bank,3500_5500
PLN104451,Ayu Pratama,Jl. Raya Tegal No.292,Tegal,Jawa Tengah,900 VA (subsidi),1454,1544,90,605.0,54450,September,2023,Lunas,2023-09-16,2023-09-30 00:00:00,2023-10-06,0,54450,Alfamart,900_subsidi
PLN104452,Siti Kurniawan,Jl. Raya Bandar Lampung No.213,Bandar Lampung,Lampung,1300 VA,1892,2117,225,1444.7,325058,June,2023,Lunas,2023-06-28,2023-07-02 00:00:00,2023-07-18,0,325058,E-Wallet,1300
PLN104453,Budi Saputra,Jl. Raya Jakarta Timur No.264,Jakarta Timur,DKI Jakarta,3500 VA,313102,314146,1044,1699.53,1774309,February,2025,Lunas,2025-02-01,2025-02-15 00:00:00,2025-02-21,0,1774309,ATM Transfer,3500_5500
PLN104454,Rina Ramadhan,Jl. Raya Parepare No.117,Parepare,Sulawesi Selatan,3500 VA,295127,295915,788,1699.53,1339230,February,2025,Lunas,2025-02-03,2025-03-29 00:00:00,2025-02-23,26784,1366014,ATM Transfer,3500_5500
PLN104455,Wahyu Gunawan,Jl. Raya Lombok Timur No.229,Lombok Timur,NTB,2200 VA,352513,353003,490,1444.7,707903,July,2024,Lunas,2024-07-24,2024-08-23 00:00:00,2024-08-13,14158,722061,Indomaret,2200
PLN104456,Dewi Wijaya,Jl. Raya Yogyakarta No.707,Yogyakarta,Yogyakarta,2200 VA,226901,227244,343,1444.7,495532,May,2025,Lunas,2025-05-05,2025-05-06 00:00:00,2025-05-25,0,495532,Mobile Banking,2200
PLN104457,Hendra Santoso,Jl. Raya Tangerang No.536,Tangerang,Banten,1300 VA,378901,379027,126,1444.7,182032,March,2025,Lunas,2025-03-12,2025-03-14 00:00:00,2025-04-01,0,182032,Kartu Kredit,1300
PLN104458,Rizky Wahyuni,Jl. Raya Gianyar No.520,Gianyar,Bali,2200 VA,328454,328554,100,1444.7,144470,May,2024,Lunas,2024-05-28,2024-06-03 00:00:00,2024-06-17,0,144470,Kartu Kredit,2200
PLN104459,Ika Agustina,Jl. Raya Banda Aceh No.195,Banda Aceh,Aceh,3500 VA,23126,23360,234,1699.53,397690,May,2023,Lunas,2023-05-18,2023-06-04 00:00:00,2023-06-07,0,397690,Indomaret,3500_5500
PLN104460,Dian Aminah,Jl. Raya Serang No.311,Serang,Banten,900 VA (subsidi),355181,355340,159,605.0,96195,March,2024,Lunas,2024-03-22,2024-05-30 00:00:00,2024-04-11,5000,101195,E-Wallet,900_subsidi
PLN104461,Siti Wahyuni,Jl. Raya Banda Aceh No.525,Banda Aceh,Aceh,900 VA (non-subsidi),408659,408850,191,1352.0,258232,October,2024,Lunas,2024-10-08,2024-10-22 00:00:00,2024-10-28,0,258232,Indomaret,900_nonsubsidi
PLN104462,Agus Aminah,Jl. Raya Makassar No.670,Makassar,Sulawesi Selatan,900 VA (subsidi),83842,84072,230,605.0,139150,February,2023,Lunas,2023-02-01,2023-02-16 00:00:00,2023-02-21,0,139150,Alfamart,900_subsidi
PLN104463,Ayu Wijaya,Jl. Raya Bandar Lampung No.410,Bandar Lampung,Lampung,2200 VA,36955,37381,426,1444.7,615442,June,2023,Lunas,2023-06-11,2023-07-22 00:00:00,2023-07-01,12308,627750,Transfer Bank,2200
PLN104464,Dian Agustina,Jl. Raya Medan No.841,Medan,Sumatera Utara,1300 VA,46990,47464,474,1444.7,684788,March,2025,Lunas,2025-03-02,2025-05-16 00:00:00,2025-03-22,13695,698483,E-Wallet,1300
PLN104465,Ayu Saputra,Jl. Raya Pekanbaru No.515,Pekanbaru,Riau,1300 VA,386164,386376,212,1444.7,306276,August,2024,Lunas,2024-08-05,2024-08-22 00:00:00,2024-08-25,0,306276,Mobile Banking,1300
PLN104466,Ika Pratama,Jl. Raya Parepare No.257,Parepare,Sulawesi Selatan,2200 VA,346395,346521,126,1444.7,182032,March,2023,Lunas,2023-03-21,2023-03-31 00:00:00,2023-04-10,0,182032,Transfer Bank,2200
PLN104467,Fitri Gunawan,Jl. Raya Lombok Timur No.199,Lombok Timur,NTB,1300 VA,133616,134043,427,1444.7,616887,January,2024,Lunas,2024-01-24,2024-04-03 00:00:00,2024-02-13,12337,629224,Alfamart,1300
PLN104468,Budi Saputra,Jl. Raya Bogor No.302,Bogor,Jawa Barat,1300 VA,72699,73061,362,1444.7,522981,February,2025,Lunas,2025-02-02,2025-02-12 00:00:00,2025-02-22,0,522981,Mobile Banking,1300
